titulo,especificacoes,categoria,caracteristicas,vantagens,sobre o produto,imagem,link
Abraçadeira,CCB: 11517 | Bitola: DN100 | Embalagem: 10 | ,produtos|predial|captacao-pluvial|calha-pluvial|abracadeira-8dc10f5c-df61-469b-b14f-3e11b9bb903c,"Fabricado em PVC,Capacidade de vazão de 533 l/min, para declividade mínima de 0,5%,União das partes feita por encaixe.","Fabricada em PVC - não sofre corrosão - maior durabilidade,Leves, de instalalação simples e fácil manutenção,Facilidade de limpeza,Resisência contra os raios UV,Pode ser pintada, adequando-se à estética da fachada da construção,Protege as edificações da umidade excessiva,Possibilitam a captação de água de chuva, canalizando-a e destinando-a aos sistema coletor de águas pluviais.","A linha Amanco Calhas
Pluviais é um sistema de captação de água pluvial (água de chuva), composto por
perfis, condutores e conexões para captação de águas pluviais em coberturas.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3373/medium_ABRACADEIRA-CCB-11517-MR.png,http://amanco.com.br/produtos/predial/captacao-pluvial/calha-pluvial/abracadeira-8dc10f5c-df61-469b-b14f-3e11b9bb903c
Cura de Concreto,"CCB: 20099 | Medidas: 2,10 x 100 | ",produtos|predial|areas-externas|bidim|cura-de-concreto,"Composição: base nãotecido, 100% Poliéster, com filme de polietileno aderido e perfurado,Bobina de 2,10m x 100m, com 21kg","Consumo 65% menor de água na cura;,Economia mai de 90% em mão de obra -  se utilizado em conjunto com o kit de de rega automática Amanco;,Reduz o custo com cura de laje em 45%;,Reutilizável por 3 vezes ou mais;,Diminui a quantidade de resíduos na obra;,Não mancha a laje, nem solta os fios ou filamentos","Especialmente desenvolvido para cura úmida de concoreto, Amanco Cura de Concreto reduz o consumo de água e o custo total da obra, oferecendo mais qualidade e segurança à construção. ",http://amanco.com.br/assets/fallbacks/image_file_medium-892862ffa4903c19bd398bc9845be9c58a3dd58db6667551dd1e4ddd0e6a8225.png,http://amanco.com.br/produtos/predial/areas-externas/bidim/cura-de-concreto
Enrolador de Mangueira Fixo,CCB: 98635 | Embalagem: 1 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|enrolador-de-mangueira-fixo-d0c72c0e-74a1-4ecc-8992-eddcb715061e,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2538/medium_7891960854283.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/enrolador-de-mangueira-fixo-d0c72c0e-74a1-4ecc-8992-eddcb715061e
Enrolador de Mangueira Portátil,CCB: 98634 | Embalagem: 1 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|enrolador-de-mangueira-portatil-881115cc-9c5b-4d6d-a5cf-c27d604f4cf8,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2537/medium_7891960854306.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/enrolador-de-mangueira-portatil-881115cc-9c5b-4d6d-a5cf-c27d604f4cf8
Conector Y de Derivação,CCB: 98646 | Embalagem: 8 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|conector-y-de-derivacao-58165902-351c-4c6b-aa49-0f7fe21076be,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2528/medium_CONECTOR-Y-DE-DERIVACAO-CCB-98646-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/conector-y-de-derivacao-58165902-351c-4c6b-aa49-0f7fe21076be
Ducha,"CCB: 11579 | Embalagem: 20 | Bitola: 1/2"" | ",produtos|predial|areas-externas|ducha|ducha,"Produto para água fria;,Destinado a áreas externas;,Sino fabricado em polipropileno e peneira fabricada em polietileno de alta densidade.","Maior vazão;,Fácil instalação;,Mais conforto para o seu banho.","Destinada a áreas externas, a linha de ducha Amanco proporciona maior vazão e mais conforto para o seu banho. É ideal para remover o cloro ou impurezas do corpo após um banho de piscina ou mar. ",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/3386/medium_ducha.png,http://amanco.com.br/produtos/predial/areas-externas/ducha/ducha
Esguicho 8 Jatos,CCB: 98640 | Embalagem: 16 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|esguicho-8-jatos-4f58bce7-81a3-40e5-be0c-da23a055b85b,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2532/medium_ESGUICHO-8-JATOS-CCB-98640-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/esguicho-8-jatos-4f58bce7-81a3-40e5-be0c-da23a055b85b
DRENASOLO,"CCB: 20100 | Medida: 2,30 x 100 | ",produtos|predial|areas-externas|bidim|drenasolo,"Composição: 100% Poliéster,Bobina de 2,30m x 100m, com 30kg,Cor: Cinza","Fabricado sob rigorosos ,padrões de internacionais de qualidade;,Conta com certificação ISO 9001,Aprovado no PBPQ-H Programa Brasileiro de Qualidade e Produtividade do Habitat",Amanco DrenaSolo impede a ocorrência de umidade nas paredes das casas já existentes e retira a umidade do solo nas construções novas evitado que ela cegue à fundação. É garantia e segurança para o imóvel.,http://amanco.com.br/assets/fallbacks/image_file_medium-892862ffa4903c19bd398bc9845be9c58a3dd58db6667551dd1e4ddd0e6a8225.png,http://amanco.com.br/produtos/predial/areas-externas/bidim/drenasolo
Esguicho 1 Jato,CCB: 98639 | Embalagem: 16 | Bitola: ½ | ,produtos|predial|areas-externas|jardim|esguicho-1-jato-a8927002-0fbf-448f-9647-6056a9c25173,"Bitola: ½,Pressão: 0,5 bar até 3,0 bar,Resistente à corrosão,Resistente aos raios UV,Encaixe por Engate Rápido (ER).","Praticidade para rega programada, promovendo economia de água,Versátil, possui produtos para as necessidades de irrigação domésticas,Fácil de montar,Design arredondado que evita danos ao jardim.","A Amanco leva a inovação para o mercado de jardinagem, e lança a linha para irrigação doméstica Amanco Jardim.São produtos utilizados no cuidado e manutenção de áreas verdes residenciais, jardins de condomínios, clubes, ginásios, tudo com a qualidade já reconhecida Amanco.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2531/medium_ESGUICHO-1-JATO-CCB-98639-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/esguicho-1-jato-a8927002-0fbf-448f-9647-6056a9c25173
União de Redução Interna,CCB: 90572 | Embalagem: 25 | Bitola: 1 x 3/4 | CCB: 11939 | Embalagem: 25 | Bitola: 3/4 x 1/2 | ,produtos|predial|areas-externas|jardim|uniao-de-reducao-interna-4188075a-9c6a-40e4-a25c-4af76c0c5252,,,"As conexões de polietileno são aplicadas em sistemas de jardinagem, com a fialidade de extensão ou ramifiação. Em conjunto com mangueiras de polietileno e a linha Amanco Jardim, formam um sistema capaz de alimentar pocilgas, tanques de piscicultura, aviários, estufas e outras estruturas rurais que não necessitem de alta pressão para sua alimentação.",http://assets.production.amanco.com.br.s3.amazonaws.com/uploads/image/file/2550/medium_UNIAO-DE-REDUCAO-INTERNA-CCB-11939-90572-WEB.jpg,http://amanco.com.br/produtos/predial/areas-externas/jardim/uniao-de-reducao-interna-4188075a-9c6a-40e4-a25c-4af76c0c5252
